filename,width,height,class,xmin,ymin,xmax,ymax
sg1.jpg,960,540,poop,1,1,68,36
sg10.jpg,960,540,poop,829,1,904,36
sg100.jpg,960,540,poop,287,276,370,358
sg101.jpg,960,540,poop,425,282,506,364
sg102.jpg,960,540,poop,573,276,657,360
sg103.jpg,960,540,poop,698,270,788,352
sg104.jpg,960,540,poop,814,274,909,358
sg105.jpg,960,540,poop,933,264,960,332
sg106.jpg,960,540,poop,1,383,97,479
sg107.jpg,960,540,poop,133,383,231,480
sg108.jpg,960,540,poop,287,374,385,470
sg109.jpg,960,540,poop,403,389,494,491
sg11.jpg,960,540,poop,918,1,960,36
sg110.jpg,960,540,poop,590,384,690,480
sg111.jpg,960,540,poop,707,376,809,473
sg112.jpg,960,540,poop,844,377,951,473
sg113.jpg,960,540,poop,2,1,81,44
sg114.jpg,960,540,poop,89,1,167,45
sg115.jpg,960,540,poop,173,1,246,44
sg116.jpg,960,540,poop,257,1,336,45
sg117.jpg,960,540,poop,351,1,422,43
sg118.jpg,960,540,poop,438,1,509,41
sg119.jpg,960,540,poop,532,1,606,42
sg12.jpg,960,540,poop,1,33,35,104
sg120.jpg,960,540,poop,625,1,704,40
sg121.jpg,960,540,poop,714,1,799,37
sg122.jpg,960,540,poop,821,1,903,40
sg123.jpg,960,540,poop,912,1,957,45
sg124.jpg,960,540,poop,1,43,42,103
sg125.jpg,960,540,poop,52,47,137,109
sg126.jpg,960,540,poop,160,48,241,107
sg127.jpg,960,540,poop,240,41,324,103
sg128.jpg,960,540,poop,334,41,415,104
sg129.jpg,960,540,poop,439,42,517,105
sg13.jpg,960,540,poop,42,34,117,103
sg130.jpg,960,540,poop,537,38,619,103
sg131.jpg,960,540,poop,633,33,719,94
sg132.jpg,960,540,poop,737,33,826,98
sg133.jpg,960,540,poop,839,34,931,100
sg134.jpg,960,540,poop,939,33,960,82
sg135.jpg,960,540,poop,8,102,97,174
sg136.jpg,960,540,poop,113,105,207,174
sg137.jpg,960,540,poop,220,103,309,176
sg138.jpg,960,540,poop,314,104,403,175
sg139.jpg,960,540,poop,435,105,520,177
sg14.jpg,960,540,poop,135,31,213,106
sg140.jpg,960,540,poop,541,104,637,177
sg141.jpg,960,540,poop,648,97,742,172
sg142.jpg,960,540,poop,756,96,852,168
sg143.jpg,960,540,poop,874,99,960,170
sg144.jpg,960,540,poop,1,182,68,263
sg145.jpg,960,540,poop,68,181,169,261
sg146.jpg,960,540,poop,183,181,282,261
sg147.jpg,960,540,poop,302,184,398,264
sg148.jpg,960,540,poop,435,182,525,262
sg149.jpg,960,540,poop,539,176,638,252
sg15.jpg,960,540,poop,242,29,316,105
